task,partition,method,dim_percent,id_dim,seed,epochs,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
mp_band_gap,bandgap_p01_4,fastfood,100,1.0,123,350,0.6155300645114039,0.6364737727272727,752.0,0.2089,2026-06-24T04:20:40+03:00,2026-06-24T04:33:12+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim100_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,100,1.0,456,350,0.6210098943179787,0.7191685909090909,723.0,0.2008,2026-06-24T05:59:21+03:00,2026-06-24T06:11:24+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim100_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,80,0.8,123,350,0.6104809092430514,0.6808121818181818,727.0,0.2019,2026-06-24T04:33:12+03:00,2026-06-24T04:45:19+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim080_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,80,0.8,456,350,0.6033774152079445,0.6648950259740259,726.0,0.2017,2026-06-24T06:11:24+03:00,2026-06-24T06:23:30+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim080_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,60,0.6,123,350,0.6122188383669709,0.7053606948051948,743.0,0.2064,2026-06-24T04:45:19+03:00,2026-06-24T04:57:42+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim060_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,60,0.6,456,350,0.56835687709696,0.6712145454545455,715.0,0.1986,2026-06-24T06:23:30+03:00,2026-06-24T06:35:25+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim060_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,50,0.5,123,350,0.5985320601248532,0.6768406818181818,749.0,0.2081,2026-06-24T04:57:43+03:00,2026-06-24T05:10:12+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim050_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,50,0.5,456,350,0.5597426270747405,0.6206509285714286,745.0,0.2069,2026-06-24T06:35:26+03:00,2026-06-24T06:47:51+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim050_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,45,0.45,123,350,0.5875044384374633,0.6764396168831168,743.0,0.2064,2026-06-24T05:10:12+03:00,2026-06-24T05:22:35+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim045_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,45,0.45,456,350,0.5556682661904802,0.6692067207792207,734.0,0.2039,2026-06-24T06:47:51+03:00,2026-06-24T07:00:05+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim045_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,20,0.2,123,350,0.5993965787129127,0.6775922922077923,737.0,0.2047,2026-06-24T05:22:35+03:00,2026-06-24T05:34:52+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim020_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,20,0.2,456,350,0.5736160415022482,0.6159801623376624,724.0,0.2011,2026-06-24T07:00:05+03:00,2026-06-24T07:12:09+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim020_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,10,0.1,123,350,0.6187673915919731,0.6618908246753247,735.0,0.2042,2026-06-24T05:34:52+03:00,2026-06-24T05:47:07+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim010_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,10,0.1,456,350,0.5747503408552461,0.6802256948051948,722.0,0.2006,2026-06-24T07:12:09+03:00,2026-06-24T07:24:11+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim010_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,5,0.05,123,350,0.6476423081840039,0.7095498246753247,734.0,0.2039,2026-06-24T05:47:07+03:00,2026-06-24T05:59:21+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim005_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_4,fastfood,5,0.05,456,350,0.5356632222888607,0.724492909090909,755.0,0.2097,2026-06-24T07:24:11+03:00,2026-06-24T07:36:46+03:00,bandgap_p01_4/predictions/bandgap_fastfood_bandgap_p01_4_dim005_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,100,1.0,123,350,0.6643989555595908,0.7134296883116883,739.0,0.2053,2026-06-24T07:30:47+03:00,2026-06-24T07:43:06+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim100_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,100,1.0,456,350,0.6656162025456069,0.7451092922077922,709.0,0.1969,2026-06-24T09:07:18+03:00,2026-06-24T09:19:07+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim100_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,80,0.8,123,350,0.6438582815462723,0.8370767792207792,725.0,0.2014,2026-06-24T07:43:06+03:00,2026-06-24T07:55:11+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim080_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,80,0.8,456,350,0.6493826744381295,0.7225616883116883,706.0,0.1961,2026-06-24T09:19:07+03:00,2026-06-24T09:30:53+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim080_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,60,0.6,123,350,0.6488752379955258,0.7520943571428571,717.0,0.1992,2026-06-24T07:55:11+03:00,2026-06-24T08:07:08+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim060_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,60,0.6,456,350,0.6882769288613417,0.6787624935064935,710.0,0.1972,2026-06-24T09:30:54+03:00,2026-06-24T09:42:44+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim060_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,50,0.5,123,350,0.6302531008550432,0.7471624350649351,721.0,0.2003,2026-06-24T08:07:08+03:00,2026-06-24T08:19:09+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim050_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,50,0.5,456,350,0.639368171937349,0.732362487012987,715.0,0.1986,2026-06-24T09:42:44+03:00,2026-06-24T09:54:39+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim050_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,45,0.45,123,350,0.6460249859810574,0.6909083636363637,723.0,0.2008,2026-06-24T08:19:09+03:00,2026-06-24T08:31:12+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim045_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,45,0.45,456,350,0.627874353785046,0.7111212532467532,714.0,0.1983,2026-06-24T09:54:39+03:00,2026-06-24T10:06:33+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim045_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,20,0.2,123,350,0.6338914151419885,0.7406855064935065,715.0,0.1986,2026-06-24T08:31:12+03:00,2026-06-24T08:43:07+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim020_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,20,0.2,456,350,0.6486383936144193,0.7601099675324675,702.0,0.195,2026-06-24T10:06:33+03:00,2026-06-24T10:18:15+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim020_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,10,0.1,123,350,0.6731849589414196,0.6558197272727273,712.0,0.1978,2026-06-24T08:43:07+03:00,2026-06-24T08:54:59+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim010_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_5,fastfood,10,0.1,456,350,0.6779409017353828,0.7360776753246754,704.0,0.1956,2026-06-24T10:18:15+03:00,2026-06-24T10:29:59+03:00,bandgap_p01_5/predictions/bandgap_fastfood_bandgap_p01_5_dim010_seed456_epochs350_predictions.csv
